Point	Segment	Pseudotime	Trajectories_1	Trajectories_2	Trajectories_3	Trajectories_4	Trajectories_5	Trajectories_6	Trajectories_7	Trajectory_15__46	Trajectory_15__47	Trajectory_15__48	Trajectory_15__49	Trajectory_15__50	Trajectory_15__51	Trajectory_15__52	Trajectory_15__53
0	2	3	47	49	50	51	52	53		0	1	0	1	1	1	1	1
1	1	4	48							0	0	1	0	0	0	0	0
2	12	7.041255803746	49							0	0	0	1	0	0	0	0
3	2	2.44500271967865	47	49	50	51	52	53		0	1	0	1	1	1	1	1
4	1	2	48							0	0	1	0	0	0	0	0
5	1	1.79448113180824	48							0	0	1	0	0	0	0	0
6	0	2.86321473131707	46							1	0	0	0	0	0	0	0
7	0	2.01903863248967	46							1	0	0	0	0	0	0	0
8	1	8.05630697595931	48							0	0	1	0	0	0	0	0
9	2	3	47	49	50	51	52	53		0	1	0	1	1	1	1	1
10	1	7.40243552822667	48							0	0	1	0	0	0	0	0
11	1	2	48							0	0	1	0	0	0	0	0
12	12	5.19411475732413	49							0	0	0	1	0	0	0	0
13	1	7	48							0	0	1	0	0	0	0	0
14	0	3	46							1	0	0	0	0	0	0	0
15	1	1	48							0	0	1	0	0	0	0	0
16	12	5.23663944932098	49							0	0	0	1	0	0	0	0
17	12	4.54322884068197	49							0	0	0	1	0	0	0	0
18	1	0	46	47	49	50	51	52	53	1	1	0	1	1	1	1	1
19	0	2.39574700032221	46							1	0	0	0	0	0	0	0
20	1	2.00940389593995	48							0	0	1	0	0	0	0	0
21	11	13.5832372057421	47							0	1	0	0	0	0	0	0
22	2	3	47	49	50	51	52	53		0	1	0	1	1	1	1	1
23	1	1.15624224338621	48							0	0	1	0	0	0	0	0
24	2	2.95564684541659	47	49	50	51	52	53		0	1	0	1	1	1	1	1
25	0	1.18488364807011	46							1	0	0	0	0	0	0	0
26	12	5.05956016583744	49							0	0	0	1	0	0	0	0
27	1	3.69219259249582	48							0	0	1	0	0	0	0	0
28	1	0	46	47	49	50	51	52	53	1	1	0	1	1	1	1	1
29	11	9.05993198538943	47							0	1	0	0	0	0	0	0
30	1	0.79691492734261	48							0	0	1	0	0	0	0	0
31	1	3.79078409681065	48							0	0	1	0	0	0	0	0
32	1	0.390427402939616	48							0	0	1	0	0	0	0	0
33	1	6.5489647174976	48							0	0	1	0	0	0	0	0
34	1	0.248486908914798	48							0	0	1	0	0	0	0	0
35	2	2.10144885349344	47	49	50	51	52	53		0	1	0	1	1	1	1	1
36	12	8.42253465941157	49							0	0	0	1	0	0	0	0
37	1	4	48							0	0	1	0	0	0	0	0
38	2	2	47	49	50	51	52	53		0	1	0	1	1	1	1	1
39	1	8.22005731106122	48							0	0	1	0	0	0	0	0
40	2	2.80586496822184	47	49	50	51	52	53		0	1	0	1	1	1	1	1
41	1	6	48							0	0	1	0	0	0	0	0
42	3	4.32651094745929	47	50	51	52	53			0	1	0	0	1	1	1	1
43	1	6.03923220354385	48							0	0	1	0	0	0	0	0
44	2	3	47	49	50	51	52	53		0	1	0	1	1	1	1	1
45	2	1.85875286483279	47	49	50	51	52	53		0	1	0	1	1	1	1	1
46	1	2.43178274456441	48							0	0	1	0	0	0	0	0
47	0	2	46							1	0	0	0	0	0	0	0
48	1	0.787398063221881	46	47	49	50	51	52	53	1	1	0	1	1	1	1	1
49	1	3	48							0	0	1	0	0	0	0	0
50	0	2.24855506432496	46							1	0	0	0	0	0	0	0
51	0	1.86545514700434	46							1	0	0	0	0	0	0	0
52	1	8	48							0	0	1	0	0	0	0	0
53	1	8.30811131322765	48							0	0	1	0	0	0	0	0
54	1	8	48							0	0	1	0	0	0	0	0
55	10	11.2866610582076	52							0	0	0	0	0	0	1	0
56	0	1	46							1	0	0	0	0	0	0	0
57	1	0	46	47	49	50	51	52	53	1	1	0	1	1	1	1	1
58	1	2.58526307568538	48							0	0	1	0	0	0	0	0
59	0	1.04840267381812	46							1	0	0	0	0	0	0	0
60	0	3.89517283504499	46							1	0	0	0	0	0	0	0
61	1	0.340367615184523	46	47	49	50	51	52	53	1	1	0	1	1	1	1	1
62	1	1	48							0	0	1	0	0	0	0	0
63	8	10.400360576095	53							0	0	0	0	0	0	0	1
64	0	3.10917389157844	46							1	0	0	0	0	0	0	0
65	2	2.58685061757676	47	49	50	51	52	53		0	1	0	1	1	1	1	1
66	0	3	46							1	0	0	0	0	0	0	0
67	1	8.17422816046376	48							0	0	1	0	0	0	0	0
68	1	8	48							0	0	1	0	0	0	0	0
69	12	6	49							0	0	0	1	0	0	0	0
70	1	0.779492710329882	48							0	0	1	0	0	0	0	0
71	2	2.02303181722049	47	49	50	51	52	53		0	1	0	1	1	1	1	1
72	1	4	48							0	0	1	0	0	0	0	0
73	1	8.53671876832178	48							0	0	1	0	0	0	0	0
74	1	1.97381070518352	48							0	0	1	0	0	0	0	0
75	1	0.332909107853016	46	47	49	50	51	52	53	1	1	0	1	1	1	1	1
76	1	0	46	47	49	50	51	52	53	1	1	0	1	1	1	1	1
77	1	1	48							0	0	1	0	0	0	0	0
78	1	1	46							1	0	0	0	0	0	0	0
79	2	3	47	49	50	51	52	53		0	1	0	1	1	1	1	1
80	1	7.76994486609887	48							0	0	1	0	0	0	0	0
81	2	1.11830698673091	47	49	50	51	52	53		0	1	0	1	1	1	1	1
82	1	0	46	47	49	50	51	52	53	1	1	0	1	1	1	1	1
83	1	0	46	47	49	50	51	52	53	1	1	0	1	1	1	1	1
84	1	7.17097716250946	48							0	0	1	0	0	0	0	0
85	1	3.85999873596967	48							0	0	1	0	0	0	0	0
86	1	0.843529100749937	48							0	0	1	0	0	0	0	0
87	1	1	48							0	0	1	0	0	0	0	0
88	1	8.24479385397296	48							0	0	1	0	0	0	0	0
89	1	1.75065903423822	48							0	0	1	0	0	0	0	0
90	2	3	47	49	50	51	52	53		0	1	0	1	1	1	1	1
91	12	7.32107812434329	49							0	0	0	1	0	0	0	0
92	1	6	48							0	0	1	0	0	0	0	0
93	1	0.833868462695659	48							0	0	1	0	0	0	0	0
94	1	8	48							0	0	1	0	0	0	0	0
95	1	0	46	47	49	50	51	52	53	1	1	0	1	1	1	1	1
96	1	1.90863699154361	48							0	0	1	0	0	0	0	0
97	1	8	48							0	0	1	0	0	0	0	0
98	0	3.56981353814849	46							1	0	0	0	0	0	0	0
99	2	0.966109473550049	46	47	49	50	51	52	53	1	1	0	1	1	1	1	1
100	1	5.80032155083844	48							0	0	1	0	0	0	0	0
101	12	8	49							0	0	0	1	0	0	0	0
102	1	4	48							0	0	1	0	0	0	0	0
103	1	0.193609724335005	46	47	49	50	51	52	53	1	1	0	1	1	1	1	1
104	1	0.819743961899597	48							0	0	1	0	0	0	0	0
105	1	8.44493341113226	48							0	0	1	0	0	0	0	0
106	1	8.20371095196125	48							0	0	1	0	0	0	0	0
107	2	2.34323619146695	47	49	50	51	52	53		0	1	0	1	1	1	1	1
108	1	1.55059494709151	48							0	0	1	0	0	0	0	0
109	1	8.89778232399084	48							0	0	1	0	0	0	0	0
110	1	8	48							0	0	1	0	0	0	0	0
111	0	2.35573107464975	46							1	0	0	0	0	0	0	0
112	1	8.13238648622848	48							0	0	1	0	0	0	0	0
113	12	5.95071830451671	49							0	0	0	1	0	0	0	0
114	1	2	48							0	0	1	0	0	0	0	0
115	10	11.2975506067771	52							0	0	0	0	0	0	1	0
116	2	1.69797739655133	47	49	50	51	52	53		0	1	0	1	1	1	1	1
117	1	0.132478003398512	46	47	49	50	51	52	53	1	1	0	1	1	1	1	1
118	2	1.6563586096476	47	49	50	51	52	53		0	1	0	1	1	1	1	1
119	2	3	47	49	50	51	52	53		0	1	0	1	1	1	1	1
120	2	1.80766481883184	47	49	50	51	52	53		0	1	0	1	1	1	1	1
121	1	6.44418912002805	48							0	0	1	0	0	0	0	0
122	1	0.169813907859532	46	47	49	50	51	52	53	1	1	0	1	1	1	1	1
